date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250811,mobile,female,45-54,Palembang,2-11-33,656692,106,119,kebugaran
20250811,mobile,male,25-34,Surakarta,2-11-33,656575,106,110,perencanaan keuangan (personal)
20250811,mobile,male,35-44,Balikpapan,2-11-35,656082,106,117,
20250811,mobile,male,35-44,Medan,2-12-39,656379,106,131,
20250811,mobile,male,35-44,Pekanbaru,2-5-17,656664,106,110,lingkungan
20250811,mobile,male,35-44,Semarang,2-12-39,657013,106,112,
20250811,mobile,male,35-44,Surabaya,2-12-37,656607,106,111,bencana alam
20250811,mobile,male,35-44,Surabaya,2-3-2004,656746,106,113,politik internasional
20250811,mobile,male,45-54,Bekasi,2-11-33,656692,106,122,kebugaran
20250811,mobile,male,45-54,Depok,2-3-2008,655009,106,112,
20250811,mobile,male,45-54,Jakarta,2-3-2004,656790,106,117,politik internasional
20250811,mobile,male,45-54,Jakarta,2-3-2008,656794,106,138,
20250811,mobile,male,45-54,Surabaya,2-127-128,656415,106,114,berita ekonomi
20250811,mobile,male,45-54,Surabaya,2-3-2004,656740,106,109,kriminal
20250811,mobile,male,45-54,Yogyakarta,2-3-2008,656482,106,115,
20250811,mobile,male,55-64,Jakarta,2-12-39,636203,106,115,
20250811,mobile,female,25-34,Semarang,2-5-19,636960,105,108,
20250811,mobile,female,25-34,Tangerang,2-11-33,656575,105,106,perencanaan keuangan (personal)
20250811,mobile,female,35-44,Semarang,2-5-17,656583,105,108,pendidikan
20250811,mobile,female,45-54,Semarang,2-3-2004,656770,105,118,berita travel
20250811,mobile,female,45-54,Sidoarjo,2-11-35,656082,105,116,
20250811,mobile,female,45-54,Surabaya,2-3-2004,656601,105,111,haji dan umrah
20250811,mobile,male,18-24,Jakarta,2-3-2004,656770,105,125,berita travel
20250811,mobile,male,25-34,Jakarta,2-3-2008,657106,105,110,
20250811,mobile,male,35-44,Banda Aceh,2-3-2004,656752,105,110,berita ekonomi
20250811,mobile,male,35-44,Bandung,2-5-19,636960,105,109,
20250811,mobile,male,35-44,Semarang,2-3-2008,653558,105,111,
20250811,mobile,male,45-54,Depok,2-11-33,656605,105,110,kebugaran
20250811,mobile,male,45-54,Jakarta,2-12-37,656612,105,113,politik internasional
20250811,mobile,male,45-54,Jakarta,2-127-128,656632,105,108,investasi berisiko tinggi
20250811,mobile,male,45-54,Jember,2-11-35,656082,105,119,
20250811,mobile,female,25-34,Bandung,2-5-17,656583,104,109,pendidikan
20250811,mobile,female,25-34,Semarang,2-5-17,656600,104,118,ekonomi digital
20250811,mobile,female,45-54,Jakarta,2-11-33,655971,104,118,berita kuliner
20250811,mobile,female,45-54,Jakarta,2-3-2008,656934,104,112,
20250811,mobile,male,25-34,Depok,2-9-25,652842,104,108,politik internasional
20250811,mobile,male,45-54,Bandung,2-12-39,656878,104,117,
20250811,mobile,male,45-54,Semarang,2-11-33,656841,104,108,kesehatan
20250811,mobile,male,45-54,Semarang,2-12-37,656602,104,110,mobil listrik
20250811,mobile,male,55-64,Depok,2-12-39,656379,104,117,
20250811,mobile,male,55-64,Jakarta,2-3-2008,656399,104,119,
20250811,mobile,male,55-64,Surabaya,2-11-33,656575,104,113,perencanaan keuangan (personal)
20250811,mobile,male,55-64,Surabaya,2-9-25,656528,104,116,kisah inspiratif
20250811,mobile,female,25-34,Semarang,2-12-39,657013,103,121,
20250811,mobile,female,35-44,Klaten,2-11-35,656082,103,112,
20250811,mobile,female,35-44,Medan,2-11-33,656575,103,105,perencanaan keuangan (personal)
20250811,mobile,female,35-44,Surabaya,2-12-39,656379,103,112,
20250811,mobile,female,45-54,Pematangsiantar,2-11-35,656082,103,117,
20250811,mobile,female,45-54,Sukabumi,2-11-35,656082,103,119,
20250811,mobile,female,45-54,Surabaya,2-5-17,656600,103,108,ekonomi digital
20250811,mobile,male,18-24,Bandung,2-11-33,656692,103,115,kebugaran
20250811,mobile,male,25-34,Bandung,2-3-2008,656387,103,113,
20250811,mobile,male,25-34,Palembang,2-11-33,656575,103,108,perencanaan keuangan (personal)
20250811,mobile,male,25-34,Semarang,2-11-33,656694,103,107,kesehatan
20250811,mobile,male,35-44,Makassar,2-11-33,656575,103,128,perencanaan keuangan (personal)
20250811,mobile,male,35-44,Pekanbaru,2-3-2004,656715,103,109,politik nasional
20250811,mobile,male,35-44,Semarang,2-3-2008,656387,103,108,
20250811,mobile,male,45-54,Bandung,2-3-2004,656770,103,112,berita travel
20250811,mobile,male,45-54,Depok,2-3-2004,656687,103,111,properti
20250811,mobile,male,45-54,Jakarta,2-5-17,656658,103,113,perencanaan keuangan (personal)
20250811,mobile,male,45-54,Surabaya,2-3-2004,656621,103,110,politik nasional
20250811,mobile,male,55-64,Semarang,2-3-2008,653558,103,113,
20250811,mobile,male,55-64,Surabaya,(not set),(not set),103,133,
20250811,mobile,female,25-34,Bandung,2-11-33,656774,102,121,kebugaran
20250811,mobile,female,25-34,Depok,2-3-2008,653558,102,104,
20250811,mobile,female,25-34,Surakarta,2-11-33,656774,102,110,kebugaran
20250811,mobile,female,55-64,Depok,2-11-33,656692,102,115,kebugaran
20250811,mobile,female,55-64,Jakarta,2-12-37,656607,102,115,bencana alam
20250811,mobile,male,25-34,Surabaya,2-12-39,657013,102,121,
20250811,mobile,male,35-44,Jakarta,2-3-2008,657106,102,110,
20250811,mobile,male,35-44,Palembang,2-11-33,656694,102,109,kesehatan
20250811,mobile,male,45-54,Bandung,2-5-17,656600,102,110,ekonomi digital
20250811,mobile,male,45-54,Jakarta,2-3-2008,652666,102,120,
20250811,mobile,male,45-54,Medan,2-3-2008,656387,102,108,
20250811,mobile,male,45-54,Palembang,2-11-33,656575,102,111,perencanaan keuangan (personal)
20250811,mobile,male,55-64,Bandung,2-11-33,656575,102,104,perencanaan keuangan (personal)
20250811,mobile,male,55-64,Surabaya,2-3-2008,653558,102,106,
20250811,mobile,female,25-34,Bandung,2-11-35,638254,101,118,
20250811,mobile,female,25-34,Surakarta,2-11-35,638254,101,111,
20250811,mobile,female,35-44,Bandung,2-11-33,656774,101,113,kebugaran
20250811,mobile,female,35-44,South Tangerang,2-11-35,656082,101,125,
20250811,mobile,female,45-54,Depok,2-9-25,652842,101,109,politik internasional
20250811,mobile,female,45-54,Jakarta,2-12-37,656937,101,105,lingkungan
20250811,mobile,female,45-54,Surabaya,2-3-2008,655848,101,116,
20250811,mobile,male,25-34,Banda Aceh,2-11-35,656082,101,110,
20250811,mobile,male,25-34,Jakarta,2-3-2008,656954,101,117,
20250811,mobile,male,25-34,Pekanbaru,2-11-33,656575,101,127,perencanaan keuangan (personal)
20250811,mobile,male,35-44,Jakarta,2-3-2004,656678,101,107,korporasi
20250811,mobile,male,45-54,Bandung,2-12-37,656602,101,109,mobil listrik
20250811,mobile,male,45-54,Bandung,2-5-17,656742,101,106,cyber security
20250811,mobile,male,45-54,Denpasar,2-3-2008,656482,101,104,
20250811,mobile,male,45-54,Depok,2-5-17,656622,101,106,investasi berisiko tinggi
20250811,mobile,male,45-54,Yogyakarta,2-12-37,656607,101,106,bencana alam
20250811,mobile,male,55-64,Jakarta,2-3-2004,656715,101,111,politik nasional
20250811,mobile,female,25-34,Bogor,2-11-35,656082,100,117,
20250811,mobile,female,25-34,Jakarta,2-3-2004,656621,100,103,politik nasional
20250811,mobile,female,25-34,Surabaya,2-3-2004,656685,100,111,bencana alam
20250811,mobile,female,35-44,Makassar,2-11-33,656575,100,115,perencanaan keuangan (personal)
20250811,mobile,female,45-54,Jakarta,2-11-33,656629,100,107,politik internasional
20250811,mobile,female,45-54,Semarang,2-12-39,657013,100,108,
20250811,mobile,female,45-54,Yogyakarta,2-11-33,656774,100,107,kebugaran
20250811,mobile,male,18-24,Jakarta,2-11-33,656605,100,119,kebugaran
20250811,mobile,male,25-34,Bandung,2-5-17,656583,100,109,pendidikan
20250811,mobile,male,25-34,Jakarta,2-127-128,655844,100,106,investasi berisiko tinggi
20250811,mobile,male,35-44,Surabaya,2-5-19,656100,100,106,
20250811,mobile,male,45-54,Kudus,2-11-35,656082,100,120,
20250811,mobile,male,45-54,Madiun,2-11-35,656082,100,111,
20250811,mobile,male,45-54,Makassar,2-12-37,656541,100,102,cyber security
20250811,mobile,male,45-54,Makassar,2-5-17,656583,100,108,pendidikan
